               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10928,            0.098501,                   0,           0.0066667,             0.14706,           0.0040107,           0.0016443,               0.105,            0.072189,                   0,              0.0829,              0.0019,              0.0019
                   1,             0.11185,            0.098563,                   0,               0.004,            0.088235,           0.0026234,          0.00092424,             0.10511,            0.071993,                   0,            0.064896,           0.0038961,           0.0038961
                   2,             0.11242,            0.096638,                   0,           0.0053333,             0.11765,           0.0031642,           0.0012594,             0.10599,            0.070921,                   0,            0.046888,           0.0058883,           0.0058883
                   3,             0.10864,            0.092477,                   0,           0.0053333,             0.11765,           0.0031642,           0.0012594,             0.10599,            0.070921,                   0,            0.028877,           0.0078765,           0.0078765
                   4,             0.10906,             0.11321,                   0,           0.0053333,             0.11765,           0.0031642,           0.0012594,             0.10599,            0.070921,                   0,            0.010861,           0.0098608,           0.0098608
                   5,             0.10916,            0.095465,                   0,           0.0053333,             0.11765,           0.0031642,           0.0012594,             0.10599,            0.070921,                   0,           0.0099505,           0.0099505,           0.0099505
                   6,             0.10631,            0.093097,                   0,           0.0053333,             0.11765,            0.014934,            0.004083,             0.10599,             0.07046,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,             0.11105,            0.096247,                   0,           0.0053333,             0.11765,            0.014934,            0.004083,             0.10599,             0.07046,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,             0.11067,            0.087951,                   0,           0.0053333,             0.11765,            0.014934,            0.004083,             0.10599,             0.07046,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,             0.10782,            0.094668,                   0,           0.0097406,            0.044118,           0.0038907,          0.00082145,             0.11842,             0.12432,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,             0.11028,            0.099447,                   0,           0.0097406,            0.044118,           0.0038907,          0.00082145,             0.11842,             0.12432,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,             0.10955,            0.090208,                   0,           0.0097406,            0.044118,           0.0038907,          0.00082145,             0.11842,             0.12432,                   0,            0.009901,            0.009901,            0.009901
                  12,             0.10895,             0.10544,                   0,           0.0036899,             0.14706,           0.0019846,          0.00041377,             0.13157,             0.47001,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,             0.10863,             0.11158,                   0,           0.0036899,             0.14706,           0.0019846,          0.00041377,             0.13157,             0.47001,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,             0.10764,             0.10523,                   0,           0.0036899,             0.14706,           0.0019846,          0.00041377,             0.13157,             0.47001,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,             0.10664,             0.09358,                   0,           0.0024809,            0.088235,           0.0013209,          0.00026031,             0.13551,              2.1461,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,             0.10627,             0.10007,                   0,           0.0024809,            0.088235,           0.0013209,          0.00026031,             0.13551,              2.1461,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,             0.10733,             0.10083,                   0,           0.0024809,            0.088235,           0.0013209,          0.00026031,             0.13551,              2.1461,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,             0.10341,            0.088038,                   0,           0.0077287,            0.073529,           0.0044164,          0.00076765,             0.12516,             0.49741,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,             0.10274,            0.083704,                   0,           0.0077287,            0.073529,           0.0044164,          0.00076765,             0.12516,             0.49741,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,             0.10526,            0.096628,                   0,           0.0077287,            0.073529,           0.0044164,          0.00076765,             0.12516,             0.49741,                   0,           0.0098119,           0.0098119,           0.0098119
                  21,             0.10391,            0.084007,                   0,           0.0077287,            0.073529,           0.0044164,          0.00076765,             0.12516,             0.49741,                   0,            0.009802,            0.009802,            0.009802
                  22,             0.10263,             0.10142,                   0,           0.0054049,            0.088235,            0.002265,          0.00048495,             0.12619,             0.74053,                   0,           0.0097921,           0.0097921,           0.0097921
